region,caseNumber,caseNumberFull,consulate,status,submitDate,statusDate,Issued,AP,Ready,Refused,Refused221g,InTransit,Transfer,NVC,2nlDate
AS,10210,2023AS10210,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10212,2023AS10212,KDU,Ready,16-Oct-2021,21-Feb-2023,0,0,1,0,0,0,0,0,15-Feb-2023
AS,10213,2023AS10213,RNG,Ready,03-Nov-2021,17-Feb-2023,0,0,5,0,0,0,0,0,01-Jan-2023
AS,10216,2023AS10216,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10219,2023AS10219,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10220,2023AS10220,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10221,2023AS10221,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10222,2023AS10222,KDU,Ready,30-Oct-2021,21-Feb-2023,0,0,3,0,0,0,0,0,15-Feb-2023
AS,10223,2023AS10223,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10228,2023AS10228,KDU,Ready,08-Nov-2021,21-Feb-2023,0,0,2,0,0,0,0,0,15-Feb-2023
AS,10229,2023AS10229,BGH,Ready,08-Nov-2021,06-Feb-2023,0,0,3,0,0,0,0,0,01-Jan-2023
AS,10231,2023AS10231,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10234,2023AS10234,AMM,AP,09-Nov-2021,20-Feb-2023,0,1,0,0,0,0,0,0,01-Jan-2023
AS,10235,2023AS10235,KDU,Ready,27-Oct-2021,21-Feb-2023,0,0,1,0,0,0,0,0,15-Feb-2023
AS,10236,2023AS10236,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10238,2023AS10238,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10240,2023AS10240,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10242,2023AS10242,BNK,Ready,07-Nov-2021,17-Feb-2023,0,0,3,0,0,0,0,0,15-Feb-2023
AS,10243,2023AS10243,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10245,2023AS10245,AMM,Ready,11-Oct-2021,21-Feb-2023,0,0,1,0,0,0,0,0,01-Jan-2023
AS,10247,2023AS10247,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10248,2023AS10248,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10251,2023AS10251,KDU,Ready,28-Oct-2021,21-Feb-2023,0,0,4,0,0,0,0,0,15-Feb-2023
AS,10253,2023AS10253,BNK,Ready,28-Oct-2021,13-Feb-2023,0,0,1,0,0,0,0,0,23-Jan-2023
AS,10254,2023AS10254,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10256,2023AS10256,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10257,2023AS10257,AMM,Ready,09-Nov-2021,09-Feb-2023,0,0,4,0,0,0,0,0,01-Jan-2023
AS,10258,2023AS10258,ISL,Ready,16-Oct-2021,16-Feb-2023,0,0,1,0,0,0,0,0,23-Jan-2023
AS,10259,2023AS10259,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10260,2023AS10260,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10261,2023AS10261,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10262,2023AS10262,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10263,2023AS10263,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10264,2023AS10264,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10267,2023AS10267,KDU,Ready,25-Oct-2021,21-Feb-2023,0,0,2,0,0,0,0,0,15-Feb-2023
AS,10268,2023AS10268,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10269,2023AS10269,RNG,Ready,08-Nov-2021,21-Feb-2023,0,0,1,0,0,0,0,0,01-Jan-2023
AS,10271,2023AS10271,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10275,2023AS10275,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10278,2023AS10278,ISL,Ready,18-Oct-2021,24-Jan-2023,0,0,1,0,0,0,0,0,23-Jan-2023
AS,10280,2023AS10280,None,NVC,None,None,0,0,0,0,0,0,0,1,None
